Sample_ID,Location,Countries,Source,Concentration,Concentration_Units
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,748.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,1247.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,623.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,499.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,125.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,499.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,499.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,0.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,1247.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,623.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,499.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,499.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,748.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,623.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,374.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,249.0,particles/L
A|10.1016/j.chemosphere.2020.126493,China,China,tap water,748.0,particles/L
Finished|10.1016/j.scitotenv.2019.134520,"Yangtze River, China",China,tap water,930.0,particles/L
April_DWTP|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,282.0,particles/L
April_Tap|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,267.0,particles/L
May_DWTP|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,338.0,particles/L
May_Tap|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,321.0,particles/L
June_DWTP|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,388.0,particles/L
June_Tap|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,381.0,particles/L
July_DWTP|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,400.0,particles/L
July_Tap|10.1007/s11356-021-13769-x,XiangJiang River,China,tap water,405.0,particles/L
TCQS|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.4,particles/m3
SHN|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.51,particles/m3
CHQ|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.51,particles/m3
CHH|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.55,particles/m3
ZHB|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.6,particles/m3
DAS|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.605,particles/m3
XHS|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.63,particles/m3
HNZ|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.75,particles/m3
TCH|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.56,particles/m3
WHH|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.6,particles/m3
Spr|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.39,particles/m3
Sum|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.36,particles/m3
Aut|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.75,particles/m3
Win|10.1016/j.scitotenv.2021.148001,"South-to-North Water Diversion Project, China",China,tap water,0.54,particles/m3
1|10.1016/j.scitotenv.2022.154015,South Korea,South Korea,tap water,0.2,particles/L
